,기업명,장비 모델명,구성품,장치명,모델명,사양,제조사,제조국,표준 가격(원)
105,한국아이오티주식회사,HK-CONICT-10,옵 션 3,확장모듈,HK-EM-1,32포트 출력 추가,한국아이오티,한국,"350,000원"
106,(주)한국더원,HD22,옵 션 1,카메라,DS-542ND(410K),500만화소,DVR씨앤시,국산,"250,000원"
107,(주)한국더원,HD22,옵 션 2,영상저장장치,DS-04030V(30F),2T,DS-04030V(30F),국산,"950,000원"
108,(주)이화글로벌,ET-0808,옵 션 1,인버터,LS 인버터 LSLV0015G100-4EONN,"15KW, 3상 4선식",LS,대한민국,"3,000,000원"
109,(주)이화글로벌,ET-0808,옵 션 2,인버터,LS 인버터 LSLV0011G100-4EONN,"11KW, 3상 4선식",LS,대한민국,"4,000,000원"
110,(주)이화글로벌,ET-0808,옵 션 3,인버터,LS 인버터 LSLV0015G100-4EONN,"15KW, 3상 4선식",LS,대한민국,"5,000,000원"
111,우리팜,WEFC2022010001,옵 션 1,S/W,WEFC2022010002,모니터링,우리팜,대한민국,"12,000,000원"
112,주식회사 이스케이프시스템,eScapedFarms,옵 션 1,토양 온습도센서,eF-IN-STH,온도: -40°C~85°C 오차범위 상온 : ±0.3°C( 상온) 습도: 0%~50% 오차범위: ±3%,(주)이스케이프시스템,대한민국,"250,000원"
113,주식회사 이스케이프시스템,eScapedFarms,옵 션 2,배액pH/EC 센서,pH and EC Monitor,범위: 0 ~ 20ds/m 해상도: 0.01ms/cm 오차범위: ±2% F.S 범위: 0.01 ~ 14pH  해상도: 0.01pH 오차범위: ±0.05pH,YINMIK,수입,"700,000원"
114,주식회사 이스케이프시스템,eScapedFarms,옵 션 3,전자밸전자유량계브,IR-901-WO,규격: 50mm Input: AC 24v pressure range: 10bar,BERMAD,수입,"700,000원"
115,주식회사 이스케이프시스템,eScapedFarms,옵 션 4,전자밸브,210s,규격: 50mm Input: AC 24v pressure range: 10bar,BERMAD,수입,"150,000원"
116,주식회사 이스케이프시스템,eScapedFarms,옵 션 5,태블릿,갤럭시탭 A8,태블릿 PC,삼성전자,국산,"350,000원"
117,제트텍,ZFARM,옵 션 1,이산화탄소센서,KCD-HP,"0~3,000ppm",코리아디지탈,한국,"400,000원"
118,제트텍,ZFARM,옵 션 2,일사량센서,SWSR-7500F,0 ~ 2000 W/m2,코리아디지탈,한국,"380,000원"
119,제트텍,ZFARM,옵 션 3,풍향센서,SWAP-7300,0 ~ 360º,코리아디지탈,한국,"450,000원"
120,제트텍,ZFARM,옵 션 4,풍속센서,SWWS-7320,0 ~ 75 m/s,코리아디지탈,한국,"450,000원"
121,제트텍,ZFARM,옵 션 5,EC/지온/지습센서,KSM-8900,지습 =  0 - 99.9% 토양EC 0 - 6.0dS/m 지온 = 0 - 60 °C,코리아디지탈,한국,"550,000원"
122,제트텍,ZFARM,옵 션 6,IP카메라,DS-2CD1021-I,200만화소 4mm,하이크비전,중국,"80,000원"
123,제트텍,ZFARM,옵 션 7,NVR,NVR-108-B,8CH NVR,하이룩,중국,"250,000원"
124,제트텍,ZFARM,옵 션 8,UPS,BE700-KR,700VA / 405W,Schneider Electric,한국,"180,000원"
125,제트텍,ZFARM,옵 션 9,온습도센서,THD-WD2-T,온도 = -19.9~60.0℃ 습도 = 0.0~99.9%RH,(주)오토닉스,한국,"130,000원"
126,제트텍,ZFARM,옵 션 10,우적센서,DRC-3000,감지 / 비감지,태성일렉트로닉,한국,"150,000원"
127,제트텍,ZFARM,옵 션 11,센서노드,센서노드,통신방식 : RS485 / TCP/IP 전원 : 220VAC / 12VDC,ZTEK,한국,"150,000원"
128,제트텍,ZFARM,옵 션 1,이산화탄소센서,KCD-HP,"0~3,000ppm",코리아디지탈,한국,"400,000원"
129,제트텍,ZFARM,옵 션 2,일사량센서,SWSR-7500F,0 ~ 2000 W/m2,코리아디지탈,한국,"380,000원"
130,제트텍,ZFARM,옵 션 3,풍향센서,SWAP-7300,0 ~ 360º,코리아디지탈,한국,"450,000원"
131,제트텍,ZFARM,옵 션 4,풍속센서,SWWS-7320,0 ~ 75 m/s,코리아디지탈,한국,"450,000원"
132,제트텍,ZFARM,옵 션 5,EC/지온/지습센서,KSM-8900,지습 =  0 - 99.9% 토양EC 0 - 6.0dS/m 지온 = 0 - 60 °C,코리아디지탈,한국,"550,000원"
133,제트텍,ZFARM,옵 션 6,IP카메라,DS-2CD1021-I,200만화소 4mm,하이크비전,중국,"80,000원"
134,제트텍,ZFARM,옵 션 7,NVR,NVR-108-B,8CH NVR,하이룩,중국,"250,000원"
135,제트텍,ZFARM,옵 션 8,UPS,BE700-KR,700VA / 405W,Schneider Electric,한국,"180,000원"
136,제트텍,ZFARM,옵 션 9,온습도센서,THD-WD2-T,온도 = -19.9~60.0℃ 습도 = 0.0~99.9%RH,(주)오토닉스,한국,"130,000원"
137,제트텍,ZFARM,옵 션 10,우적센서,DRC-3000,감지 / 비감지,태성일렉트로닉,한국,"150,000원"
